roi,L_bankssts_thickavg,L_caudalanteriorcingulate_thickavg,L_caudalmiddlefrontal_thickavg,L_cuneus_thickavg,L_entorhinal_thickavg,L_frontalpole_thickavg,L_fusiform_thickavg,L_inferiorparietal_thickavg,L_inferiortemporal_thickavg,L_insula_thickavg,L_isthmuscingulate_thickavg,L_lateraloccipital_thickavg,L_lateralorbitofrontal_thickavg,L_lingual_thickavg,L_medialorbitofrontal_thickavg,L_middletemporal_thickavg,L_paracentral_thickavg,L_parahippocampal_thickavg,L_parsopercularis_thickavg,L_parsorbitalis_thickavg,L_parstriangularis_thickavg,L_pericalcarine_thickavg,L_postcentral_thickavg,L_posteriorcingulate_thickavg,L_precentral_thickavg,L_precuneus_thickavg,L_rostralanteriorcingulate_thickavg,L_rostralmiddlefrontal_thickavg,L_superiorfrontal_thickavg,L_superiorparietal_thickavg,L_superiortemporal_thickavg,L_supramarginal_thickavg,L_temporalpole_thickavg,L_transversetemporal_thickavg,LSurfArea,R_bankssts_thickavg,R_caudalanteriorcingulate_thickavg,R_caudalmiddlefrontal_thickavg,R_cuneus_thickavg,R_entorhinal_thickavg,R_frontalpole_thickavg,R_fusiform_thickavg,R_inferiorparietal_thickavg,R_inferiortemporal_thickavg,R_insula_thickavg,R_isthmuscingulate_thickavg,R_lateraloccipital_thickavg,R_lateralorbitofrontal_thickavg,R_lingual_thickavg,R_medialorbitofrontal_thickavg,R_middletemporal_thickavg,R_paracentral_thickavg,R_parahippocampal_thickavg,R_parsopercularis_thickavg,R_parsorbitalis_thickavg,R_parstriangularis_thickavg,R_pericalcarine_thickavg,R_postcentral_thickavg,R_posteriorcingulate_thickavg,R_precentral_thickavg,R_precuneus_thickavg,R_rostralanteriorcingulate_thickavg,R_rostralmiddlefrontal_thickavg,R_superiorfrontal_thickavg,R_superiorparietal_thickavg,R_superiortemporal_thickavg,R_supramarginal_thickavg,R_temporalpole_thickavg,R_transversetemporal_thickavg,RSurfArea
meta_d,-0.092,0.039,-0.319,-0.157,-0.264,-0.078,-0.187,-0.197,-0.085,0.014,-0.049,-0.19,-0.066,-0.178,0.005,-0.199,-0.311,-0.104,-0.153,-0.149,-0.192,-0.13,-0.125,-0.083,-0.384,-0.248,-0.012,-0.145,-0.283,-0.287,-0.18,-0.232,-0.205,-0.192,0.297,-0.058,0.014,-0.307,-0.204,-0.161,-0.109,-0.116,-0.171,-0.072,-0.022,0.009,-0.199,-0.109,-0.162,-0.053,-0.124,-0.315,-0.094,-0.177,-0.141,-0.199,-0.13,-0.116,-0.07,-0.399,-0.275,0.093,-0.197,-0.269,-0.313,-0.123,-0.223,-0.181,-0.182,0.284
meta_se,0.079,0.043,0.04,0.088,0.062,0.048,0.061,0.071,0.057,0.048,0.036,0.091,0.046,0.085,0.035,0.069,0.065,0.044,0.057,0.049,0.05,0.089,0.09,0.044,0.044,0.083,0.058,0.063,0.054,0.077,0.081,0.06,0.061,0.044,0.363,0.064,0.062,0.051,0.038,0.056,0.048,0.044,0.074,0.042,0.047,0.049,0.064,0.053,0.048,0.035,0.042,0.053,0.035,0.036,0.053,0.036,0.05,0.101,0.063,0.044,0.066,0.054,0.057,0.059,0.094,0.059,0.055,0.052,0.044,0.367
meta_zval,-1.162,0.916,-7.935,-1.795,-4.261,-1.627,-3.075,-2.789,-1.488,0.288,-1.367,-2.099,-1.454,-2.109,0.149,-2.877,-4.748,-2.36,-2.691,-3.04,-3.828,-1.464,-1.381,-1.88,-8.768,-3.004,-0.21,-2.3,-5.251,-3.749,-2.223,-3.894,-3.371,-4.406,0.817,-0.904,0.222,-5.991,-5.333,-2.86,-2.261,-2.629,-2.299,-1.73,-0.465,0.181,-3.127,-2.068,-3.348,-1.528,-2.966,-5.983,-2.699,-4.976,-2.641,-5.48,-2.606,-1.153,-1.114,-9.102,-4.197,1.715,-3.434,-4.588,-3.348,-2.071,-4.045,-3.455,-4.188,0.775
meta_pval,0.245432009,0.359482284,2.11E-15,0.072677966,2.04E-05,0.103731694,0.002104147,0.00529128,0.136761399,0.773355712,0.171712563,0.03582136,0.14601444,0.034958368,0.881803499,0.004010604,2.05E-06,0.01828504,0.007117269,0.002366495,0.000129192,0.14325453,0.16713871,0.060089126,1.82E-18,0.002661786,0.833758288,0.021461648,1.51E-07,0.000177868,0.026189873,9.87E-05,0.000748863,1.05E-05,0.413791771,0.365900875,0.824041638,2.09E-09,9.68E-08,0.004240488,0.023742679,0.008563443,0.021524412,0.083642697,0.642141062,0.856104204,0.001766698,0.038665361,0.000814011,0.126480352,0.00301793,2.19E-09,0.006946998,6.48E-07,0.008268133,4.25E-08,0.009147753,0.24884394,0.265422689,8.85E-20,2.70E-05,0.086405065,0.000593987,4.49E-06,0.000813344,0.038373563,5.24E-05,0.00055113,2.81E-05,0.438146009
meta_ci.lb,-0.247,-0.044,-0.398,-0.329,-0.385,-0.172,-0.306,-0.336,-0.198,-0.080,-0.120,-0.368,-0.155,-0.344,-0.063,-0.334,-0.439,-0.190,-0.264,-0.245,-0.290,-0.303,-0.302,-0.170,-0.470,-0.410,-0.125,-0.269,-0.389,-0.437,-0.338,-0.348,-0.324,-0.278,-0.415,-0.185,-0.108,-0.407,-0.279,-0.271,-0.203,-0.202,-0.316,-0.154,-0.113,-0.088,-0.324,-0.213,-0.256,-0.122,-0.205,-0.418,-0.162,-0.247,-0.246,-0.270,-0.228,-0.313,-0.193,-0.485,-0.404,-0.013,-0.309,-0.385,-0.497,-0.239,-0.331,-0.284,-0.268,-0.434
meta_ci.ub,0.063,0.122,-0.240,0.014,-0.143,0.016,-0.068,-0.059,0.027,0.107,0.021,-0.013,0.023,-0.013,0.074,-0.063,-0.183,-0.018,-0.041,-0.053,-0.094,0.044,0.052,0.004,-0.298,-0.086,0.101,-0.021,-0.177,-0.137,-0.021,-0.115,-0.086,-0.107,1.008,0.068,0.136,-0.206,-0.129,-0.051,-0.014,-0.029,-0.025,0.010,0.070,0.106,-0.074,-0.006,-0.067,0.015,-0.042,-0.212,-0.026,-0.107,-0.036,-0.128,-0.032,0.081,0.053,-0.313,-0.147,0.199,-0.085,-0.154,-0.130,-0.007,-0.115,-0.078,-0.097,1.003
meta_tau2,0.107,0.010,0.006,0.142,0.049,0.020,0.050,0.080,0.041,0.019,0.001,0.154,0.015,0.130,0.000,0.073,0.063,0.012,0.039,0.022,0.024,0.146,0.154,0.013,0.012,0.122,0.042,0.057,0.032,0.099,0.115,0.046,0.050,0.012,3.094,0.060,0.054,0.026,0.004,0.033,0.020,0.013,0.092,0.009,0.017,0.023,0.058,0.030,0.020,0.000,0.009,0.030,0.000,0.001,0.032,0.001,0.024,0.199,0.056,0.012,0.063,0.033,0.041,0.044,0.168,0.045,0.035,0.029,0.012,3.159
meta_tause,0.044,0.012,0.010,0.054,0.027,0.015,0.025,0.035,0.022,0.015,0.008,0.058,0.014,0.050,0.007,0.033,0.030,0.013,0.022,0.016,0.017,0.055,0.058,0.013,0.012,0.048,0.023,0.028,0.020,0.041,0.046,0.024,0.025,0.012,0.932,0.029,0.027,0.018,0.009,0.022,0.015,0.013,0.038,0.011,0.014,0.016,0.028,0.019,0.016,0.007,0.011,0.019,0.007,0.007,0.019,0.008,0.017,0.071,0.027,0.012,0.030,0.020,0.022,0.024,0.062,0.024,0.021,0.019,0.012,0.951
meta_i2,76.876,25.116,17.112,82.327,56.648,39.689,62.369,72.318,57.734,37.865,4.692,83.469,33.608,81.014,0.000,69.577,67.476,28.977,56.643,42.296,44.414,82.763,83.464,30.055,27.649,79.941,58.163,65.222,51.773,76.416,77.962,59.391,62.123,28.178,98.942,66.146,64.371,46.443,11.423,45.905,40.183,29.455,75.033,22.582,35.964,43.203,65.810,50.335,40.473,0.005,22.160,49.261,0.004,2.624,51.310,4.660,44.339,86.698,64.858,27.929,67.608,52.423,57.596,59.483,84.459,58.964,52.895,48.990,27.918,98.962
meta_h2,4.325,1.335,1.206,5.658,2.307,1.658,2.657,3.613,2.366,1.609,1.049,6.049,1.506,5.267,1.000,3.287,3.075,1.408,2.306,1.733,1.799,5.801,6.047,1.430,1.382,4.985,2.390,2.875,2.074,4.240,4.538,2.463,2.640,1.392,94.532,2.954,2.807,1.867,1.129,1.849,1.672,1.418,4.005,1.292,1.562,1.761,2.925,2.013,1.680,1.000,1.285,1.971,1.000,1.027,2.054,1.049,1.797,7.518,2.846,1.388,3.087,2.102,2.358,2.468,6.435,2.437,2.123,1.960,1.387,96.355
meta_nctl,1584,1645,1650,1648,1402,1648,1644,1639,1648,1610,1649,1650,1645,1649,1632,1546,1650,1637,1648,1650,1650,1650,1647,1650,1645,1649,1645,1649,1649,1645,1533,1606,1643,1647,1579,1621,1652,1653,1651,1373,1654,1650,1643,1652,1615,1651,1653,1651,1653,1636,1642,1654,1650,1652,1654,1652,1654,1648,1654,1649,1654,1652,1654,1650,1653,1555,1597,1648,1654,1579
meta_npat,1927,2045,2061,2061,1724,2058,2058,2052,2055,2026,2057,2060,2060,2061,2030,1955,2061,2050,2059,2059,2060,2059,2056,2059,2058,2059,2048,2057,2059,2058,1937,1965,2055,2061,2052,2023,2056,2059,2057,1691,2057,2057,2045,2057,2032,2057,2058,2057,2056,2025,2050,2059,2053,2059,2057,2058,2056,2057,2056,2054,2055,2055,2058,2058,2058,1958,1971,2048,2059,2050
