roi,ACR,ACR_L,ACR_R,ALIC,ALIC_L,ALIC_R,AverageFA,BCC,CC,CGC,CGC_L,CGC_R,CGH,CGH_L,CGH_R,CR,CR_L,CR_R,CST,CST_L,CST_R,EC,EC_L,EC_R,FX,FX_ST_L,FX_ST_R,FXST,GCC,IC,IC_L,IC_R,IFO,IFO_L,IFO_R,PCR,PCR_L,PCR_R,PLIC,PLIC_L,PLIC_R,PTR,PTR_L,PTR_R,RLIC,RLIC_L,RLIC_R,SCC,SCR,SCR_L,SCR_R,SFO,SFO_L,SFO_R,SLF,SLF_L,SLF_R,SS,SS_L,SS_R,UNC,UNC_L,UNC_R
meta_d,-0.376607399,-0.338873105,-0.371157819,-0.344562285,-0.328988809,-0.31801133,-0.399612198,-0.379806934,-0.379468606,-0.246547362,-0.21287603,-0.261395093,-0.099027724,-0.083820546,-0.097656356,-0.313741687,-0.296677703,-0.306187968,-0.041921084,0.005293956,-0.0893425,-0.191538684,-0.182293636,-0.173447816,-0.302534706,-0.283986928,-0.272791004,-0.306740979,-0.359014299,-0.159279534,-0.158002181,-0.145364204,-0.100179091,-0.056025675,-0.112048026,-0.238641294,-0.254618416,-0.195422235,0.054999973,0.057810293,0.044335491,-0.286560709,-0.24853771,-0.268482472,-0.110555087,-0.129302702,-0.075227241,-0.196592306,-0.144663024,-0.122496728,-0.150529793,-0.274841942,-0.260416423,-0.236519289,-0.20138742,-0.203121317,-0.176442221,-0.279701406,-0.290010331,-0.221204907,-0.157833874,-0.139792614,-0.148868912
meta_se,0.050400585,0.050444079,0.04966243,0.050054727,0.049914644,0.051605506,0.047117673,0.046345282,0.047027238,0.047876771,0.047256168,0.047280678,0.041808359,0.042750392,0.039254125,0.043532779,0.043857565,0.043994528,0.037746213,0.034329992,0.040841934,0.043694003,0.045947833,0.044911097,0.044585706,0.041301036,0.044640789,0.042731862,0.042722358,0.046406971,0.045932312,0.049077305,0.038613674,0.043361107,0.036089603,0.038628079,0.038678038,0.037034379,0.04734464,0.045549218,0.049252063,0.043360305,0.041585013,0.041119157,0.043402776,0.038932721,0.048056271,0.052996317,0.034729952,0.034632256,0.037907216,0.055502441,0.046135859,0.06156333,0.041606029,0.041971565,0.040199196,0.045218346,0.049160944,0.039328038,0.0332831,0.032424005,0.033727596
meta_zval,-7.47228223,-6.717797447,-7.473613739,-6.883711237,-6.591027881,-6.162352671,-8.48115305,-8.195158504,-8.069123754,-5.149623904,-4.504724707,-5.528581726,-2.368610623,-1.960696557,-2.487798578,-7.207021722,-6.764573088,-6.959682935,-1.110603704,0.154207888,-2.187518867,-4.383637785,-3.967404414,-3.862025819,-6.785464046,-6.876024328,-6.110801582,-7.178273263,-8.403428981,-3.432232948,-3.439891712,-2.961943477,-2.594394213,-1.292072052,-3.104717654,-6.177922893,-6.583022988,-5.276779019,1.16169376,1.269183003,0.900175316,-6.608825982,-5.976617287,-6.529376861,-2.547189341,-3.321183297,-1.565399037,-3.709546573,-4.16536786,-3.53707042,-3.971006256,-4.951889281,-5.644555673,-3.841885882,-4.840342204,-4.839498329,-4.38919781,-6.185573628,-5.899201781,-5.624610858,-4.742162627,-4.31139258,-4.413860687
meta_pval,7.88E-14,1.84E-11,7.80E-14,5.83E-12,4.37E-11,7.17E-10,2.23E-17,2.50E-16,7.08E-16,2.61E-07,6.65E-06,3.23E-08,0.01785504,0.049914431,0.012853651,5.72E-13,1.34E-11,3.41E-12,0.266738968,0.877445823,0.028704667,1.17E-05,7.27E-05,0.000112451,1.16E-11,6.15E-12,9.91E-10,7.06E-13,4.34E-17,0.000598633,0.000581947,0.003057039,0.009475777,0.196332193,0.001904607,6.50E-10,4.61E-11,1.31E-07,0.245359881,0.204375802,0.36802696,3.87E-11,2.28E-09,6.60E-11,0.010859449,0.000896366,0.117489374,0.000207631,3.11E-05,0.000404592,7.16E-05,7.35E-07,1.66E-08,0.000122093,1.30E-06,1.30E-06,1.14E-05,6.19E-10,3.65E-09,1.86E-08,2.11E-06,1.62E-05,1.02E-05
meta_ci.lb,-0.475390732,-0.437741683,-0.468494393,-0.442667747,-0.426819713,-0.419156264,-0.491961141,-0.470642018,-0.4716403,-0.340384108,-0.305496418,-0.35406352,-0.180970602,-0.167609775,-0.174593027,-0.399064367,-0.382636951,-0.392415659,-0.115902302,-0.061991592,-0.16939122,-0.277177357,-0.272349734,-0.261471949,-0.389921085,-0.364935471,-0.360285343,-0.390493889,-0.442748581,-0.250235525,-0.248027859,-0.241553954,-0.175860501,-0.141011883,-0.182782347,-0.314350937,-0.330425978,-0.268008285,-0.037793817,-0.031464533,-0.052196778,-0.371545345,-0.330042838,-0.349074539,-0.195622964,-0.205609433,-0.169415801,-0.300463179,-0.212732479,-0.190374703,-0.224826572,-0.383624728,-0.350841045,-0.357181199,-0.28293374,-0.285384072,-0.255231197,-0.368327734,-0.386364011,-0.298286444,-0.223067552,-0.203342496,-0.214973786
meta_ci.ub,-0.277824067,-0.240004527,-0.273821245,-0.246456823,-0.231157905,-0.216866396,-0.307263256,-0.28897185,-0.287296913,-0.152710616,-0.120255641,-0.168726667,-0.017084845,-3.13E-05,-0.020719685,-0.228419007,-0.210718455,-0.219960277,0.032060134,0.072579503,-0.009293781,-0.105900011,-0.092237538,-0.085423684,-0.215148328,-0.203038385,-0.185296665,-0.22298807,-0.275280016,-0.068323543,-0.067976503,-0.049174453,-0.024497682,0.028960534,-0.041313705,-0.16293165,-0.178810854,-0.122836186,0.147793763,0.147085119,0.140867761,-0.201576073,-0.167032581,-0.187890405,-0.02548721,-0.052995972,0.01896132,-0.092721434,-0.07659357,-0.054618754,-0.076233014,-0.166059157,-0.169991802,-0.115857379,-0.119841101,-0.120858562,-0.097653246,-0.191075077,-0.19365665,-0.14412337,-0.092600197,-0.076242732,-0.082764038
meta_tau2,0.038501861,0.038676996,0.036519942,0.037692944,0.037268995,0.042141727,0.029725378,0.027853288,0.029558039,0.031982897,0.030425046,0.030450139,0.017649769,0.019740568,0.012312537,0.021205292,0.021957248,0.022321312,0.009441231,0.003400573,0.013143922,0.021827187,0.027247546,0.02472321,0.023746457,0.016317151,0.023873021,0.019398261,0.019311679,0.028350864,0.02715124,0.035314571,0.011054891,0.021165727,0.006342001,0.010873623,0.010975275,0.007921105,0.030802273,0.026284903,0.035856054,0.020782994,0.016915692,0.015917974,0.021199317,0.011651067,0.032645614,0.046188782,0.00398025,0.003820961,0.009653375,0.053859825,0.027607899,0.074001355,0.01711699,0.017892408,0.014187494,0.025265198,0.035343334,0.012317158,0.001661439,0.000366129,0.002364313
meta_tause,0.019259023,0.019287669,0.01867655,0.018998795,0.01887398,0.020259752,0.016704602,0.016130611,0.016637948,0.017287952,0.016814539,0.016841005,0.012943015,0.013578314,0.011286015,0.014108799,0.014326879,0.014441713,0.01036072,0.008376033,0.012079872,0.014242052,0.015858494,0.015105992,0.014863034,0.012593298,0.014887984,0.013549965,0.013549154,0.016185895,0.015831265,0.01822682,0.010890967,0.014005437,0.009373578,0.010877606,0.01091459,0.009913359,0.016887317,0.015551608,0.018362953,0.013970513,0.012770256,0.012465529,0.014028625,0.011086321,0.017429568,0.021394511,0.008596944,0.008536974,0.010456135,0.023592947,0.015994467,0.029235856,0.012807616,0.013046386,0.011891618,0.015307722,0.01828362,0.01132492,0.007808646,0.007356333,0.008044633
meta_i2,54.59341319,54.78933203,53.29496537,54.12689366,53.87415894,56.92476982,48.13813167,46.56537037,48.02836738,50.21972161,49.02152025,48.97914557,35.95918225,38.58068228,28.15543746,40.00726345,40.87548164,41.25391894,23.14390621,9.789591927,28.62677539,40.87642681,46.32718125,43.92528315,42.78659339,33.98800234,42.94889846,37.9161881,37.73714936,47.32752457,46.25004995,52.8166059,26.02944543,40.24767753,16.79829722,25.58304057,25.75402548,20.06890109,49.48478378,45.530752,53.27935615,39.5661209,34.81347442,33.45252956,40.25268212,27.03359816,50.91398967,59.29818876,11.23819188,10.84013636,23.48084852,62.83894978,46.54832595,69.90757011,35.1678092,36.17654032,31.0527959,44.32404523,52.65242087,28.05570467,5.022657722,1.152722764,6.999619817
meta_h2,2.20232365,2.211867342,2.141096796,2.179926497,2.167982148,2.321519806,1.928198949,1.871445553,1.924126585,2.008827657,1.961612047,1.959982857,1.561504108,1.628152244,1.391893784,1.666868454,1.691345702,1.702241208,1.301133002,1.108519539,1.401085639,1.69137274,1.863140456,1.783334908,1.747842087,1.514876137,1.752814535,1.610725839,1.606094147,1.898524783,1.860466845,2.119389711,1.351889283,1.673575116,1.201898479,1.343779708,1.346874368,1.251077508,1.979601543,1.835898304,2.140381462,1.654700997,1.534059364,1.502686719,1.673715299,1.370493782,2.037240332,2.45689312,1.126610669,1.121580899,1.306862375,2.690989609,1.870848795,3.323094891,1.542443634,1.566821988,1.450385136,1.796107501,2.112040401,1.389964271,1.052882694,1.011661654,1.075264422
meta_nctl,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2245,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391
meta_npat,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1841,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
