roi,L_precuneus_thickavg,L_superiorparietal_thickavg,R_precentral_thickavg,R_superiorparietal_thickavg,R_precuneus_thickavg,L_precentral_thickavg,R_caudalmiddlefrontal_thickavg,R_postcentral_thickavg,L_paracentral_thickavg,L_postcentral_thickavg,L_caudalmiddlefrontal_thickavg,L_superiorfrontal_thickavg,L_superiortemporal_thickavg,L_lingual_thickavg,L_entorhinal_thickavg,R_paracentral_thickavg,L_lateraloccipital_thickavg,R_superiorfrontal_thickavg,L_fusiform_thickavg,R_supramarginal_thickavg,R_inferiorparietal_thickavg,R_lateraloccipital_thickavg,L_supramarginal_thickavg,L_parahippocampal_thickavg,L_temporalpole_thickavg,R_parstriangularis_thickavg,R_rostralmiddlefrontal_thickavg,L_middletemporal_thickavg,L_parstriangularis_thickavg,L_inferiorparietal_thickavg,L_cuneus_thickavg,L_rostralmiddlefrontal_thickavg,R_posteriorcingulate_thickavg,L_inferiortemporal_thickavg,R_cuneus_thickavg,R_fusiform_thickavg,L_parsopercularis_thickavg,L_parsorbitalis_thickavg,R_lingual_thickavg,R_superiortemporal_thickavg,L_transversetemporal_thickavg,R_transversetemporal_thickavg,L_pericalcarine_thickavg,R_parahippocampal_thickavg,R_parsorbitalis_thickavg,R_parsopercularis_thickavg,R_lateralorbitofrontal_thickavg,R_pericalcarine_thickavg,R_bankssts_thickavg,R_frontalpole_thickavg,R_caudalanteriorcingulate_thickavg,R_medialorbitofrontal_thickavg,R_entorhinal_thickavg,L_bankssts_thickavg,L_frontalpole_thickavg,R_middletemporal_thickavg,L_lateralorbitofrontal_thickavg,L_posteriorcingulate_thickavg,R_inferiortemporal_thickavg,R_temporalpole_thickavg,R_isthmuscingulate_thickavg,L_isthmuscingulate_thickavg,L_rostralanteriorcingulate_thickavg,L_medialorbitofrontal_thickavg,R_insula_thickavg,R_rostralanteriorcingulate_thickavg,L_caudalanteriorcingulate_thickavg,L_insula_thickavg
meta_d,-0.667616328,-0.577352101,-0.564873522,-0.551421961,-0.54657576,-0.498552677,-0.489053452,-0.46706111,-0.464385518,-0.447474461,-0.44245528,-0.425427267,-0.418191972,-0.406480529,-0.400203805,-0.399172298,-0.398449252,-0.397882157,-0.394705491,-0.367124381,-0.363564669,-0.348461559,-0.339433071,-0.339107371,-0.339069776,-0.307909185,-0.30524231,-0.295484959,-0.291792145,-0.277714159,-0.267480437,-0.250481519,-0.231893917,-0.225787294,-0.217428125,-0.205795026,-0.201104042,-0.194260725,-0.187733023,-0.185926282,-0.176409408,-0.169939623,-0.169244483,-0.164019145,-0.162360836,-0.150170834,-0.137475148,-0.134416145,-0.125192759,-0.114546718,-0.114033119,-0.104747712,-0.103615725,-0.092471856,-0.092304856,-0.085775875,-0.056208526,-0.052902192,-0.042815945,-0.041194255,-0.039620854,-0.027757077,0.029629612,0.035933207,0.051218926,0.154522068,0.191629878,0.20353073
meta_se,0.135697087,0.151939587,0.068169464,0.176463303,0.109156051,0.083330913,0.094482827,0.144232713,0.109231137,0.137180069,0.06892084,0.065602095,0.121480851,0.148445849,0.077563101,0.081610611,0.160174786,0.063705675,0.063627193,0.091467757,x,0.117331035,0.100075198,0.065216162,0.064959847,0.063509402,0.087292735,0.107872259,0.104072742,0.143405221,0.139286609,0.107943688,0.089246048,0.08661261,0.081762167,0.06325509,0.108109157,0.092803995,0.113408416,0.065039368,0.069309952,0.077100645,0.142027339,0.097002434,0.086368894,0.093249723,0.109299966,0.085666605,0.106622072,0.063255211,0.116100471,0.06331473,0.105201378,0.127485515,0.063314967,0.09180808,0.081716061,0.063468917,0.08315564,0.063304184,0.086446214,0.088162498,0.080217533,0.084690285,0.063888882,0.063334435,0.063434608,0.076783232
meta_zval,-4.919901688,-3.799879358,-8.286313138,-3.124853441,-5.007287767,-5.982805877,-5.176109451,-3.238246714,-4.251402388,-3.261949537,-6.41976037,-6.484964659,-3.442451787,-2.738241123,-5.15971898,-4.891181323,-2.48759035,-6.24563126,-6.203408864,-4.013702661,-3.066581043,-2.969901014,-3.391780151,-5.199744409,-5.219682458,-4.848245714,-3.496766468,-2.739211744,-2.80373266,-1.936569367,-1.920360027,-2.32048324,-2.598366228,-2.606863998,-2.659275484,-3.253414476,-1.860194346,-2.093236674,-1.655371169,-2.858672935,-2.545224793,-2.204127133,-1.191633136,-1.69087659,-1.879853129,-1.610415865,-1.257778504,-1.569061194,-1.174173008,-1.810866093,-0.982193427,-1.65439719,-0.984927446,-0.725351865,-1.457867874,-0.934295487,-0.68785164,-0.833513381,-0.51488925,-0.650735111,-0.45832954,-0.314839955,0.369365781,0.424289592,0.801687617,2.43977971,3.020904269,2.650718468
meta_pval,8.66E-07,1.45E-04,1.17E-16,1.78E-03,5.52E-07,2.19E-09,2.27E-07,1.20E-03,2.12E-05,1.11E-03,1.36E-10,8.88E-11,5.76E-04,6.18E-03,2.47E-07,1.00E-06,1.29E-02,4.22E-10,5.53E-10,5.98E-05,2.17E-03,2.98E-03,6.94E-04,2.00E-07,1.79E-07,1.25E-06,4.71E-04,6.16E-03,5.05E-03,5.28E-02,5.48E-02,2.03E-02,9.37E-03,9.14E-03,7.83E-03,1.14E-03,6.29E-02,3.63E-02,9.78E-02,4.25E-03,1.09E-02,2.75E-02,2.33E-01,9.09E-02,6.01E-02,1.07E-01,2.08E-01,1.17E-01,2.40E-01,7.02E-02,3.26E-01,9.80E-02,3.25E-01,4.68E-01,1.45E-01,3.50E-01,4.92E-01,4.05E-01,6.07E-01,5.15E-01,6.47E-01,7.53E-01,7.12E-01,6.71E-01,4.23E-01,1.47E-02,2.52E-03,8.03E-03
meta_ci.lb,-0.933577731,-0.87514822,-0.698483215,-0.89728368,-0.760517688,-0.661878265,-0.67423639,-0.749752033,-0.678474614,-0.716342455,-0.577537645,-0.55400501,-0.656290064,-0.697429048,-0.55222469,-0.559126157,-0.712386063,-0.522742986,-0.519412497,-0.546397891,-0.595932133,-0.578426161,-0.535576855,-0.466928699,-0.466388738,-0.432385326,-0.476332928,-0.506910702,-0.49577097,-0.558783228,-0.540477174,-0.46204726,-0.406812956,-0.39554489,-0.377679027,-0.329772725,-0.412994096,-0.376153213,-0.410009434,-0.313401101,-0.312254417,-0.32105411,-0.447612952,-0.354140422,-0.331640757,-0.332936933,-0.351699146,-0.302319604,-0.334168181,-0.238524654,-0.34158586,-0.228842303,-0.309806637,-0.342338874,-0.216399911,-0.265716405,-0.216369062,-0.177298984,-0.205798005,-0.165268177,-0.20905232,-0.200552398,-0.127593864,-0.130056702,-0.074000982,0.030388858,0.067300331,0.053038362
meta_ci.ub,-0.401654924,-0.279555982,-0.431263828,-0.205560242,-0.332633831,-0.335227088,-0.303870515,-0.184370186,-0.250296423,-0.178606467,-0.307372915,-0.296849523,-0.180093879,-0.115532011,-0.248182921,-0.239218439,-0.08451244,-0.273021328,-0.269998485,-0.187850871,-0.131197206,-0.118496957,-0.143289287,-0.211286043,-0.211750815,-0.183433045,-0.134151693,-0.084059216,-0.087813319,0.00335491,0.005516301,-0.038915778,-0.056974877,-0.056029698,-0.057177223,-0.081817328,0.010786012,-0.012368238,0.034543389,-0.058451462,-0.040564398,-0.018825136,0.109123986,0.026102132,0.006919086,0.032595265,0.076748849,0.033487315,0.083782662,0.009431219,0.113519622,0.019346879,0.102575188,0.157395162,0.031790199,0.094164655,0.10395201,0.0714946,0.120166115,0.082879666,0.129810613,0.145038244,0.186853088,0.201923115,0.176438833,0.278655279,0.315959424,0.354023099
meta_tau2,0.168251831,0.231887217,0.003586636,0.342996505,0.083367463,0.024500357,0.04668398,0.202147663,0.084229641,0.175096111,0.004648756,0.001499211,0.119650588,0.218790291,0,0.022216531,0.268087246,0,0,0.039029178,0.111969245,0.108475466,0.059261618,0.001153675,0.001126856,0,0.032416821,0.079448975,0.070889727,0.197695805,0.183929683,0.081170261,0.036299865,0.031143881,0.022764475,8.12E-07,0.081843227,0.043869112,0.096952399,0,0.005604312,0.015443301,0.194253714,0.053312003,0.030925491,0.045083087,0.085113272,0.029759784,0.076738703,0,0.104618801,0,0.055476962,0.139566514,2.46E-06,0.041471301,0.022788276,0.000158006,0.025174873,3.51E-06,0.03103773,0.034223207,0.020010532,0.02801319,0,2.85E-06,0,0.014399091
meta_tause,0.099734202,0.125641858,0.021219704,0.170208255,0.063263191,0.034538561,0.046127822,0.113102582,0.063466463,0.102049479,0.021800791,0.019312645,0.079415494,0.119912948,0.029436276,0.032977248,0.139910754,0.018032228,0.018000638,0.042877,0.075440434,0.073771699,0.05251651,0.018990883,0.018864346,0.017927873,0.0386289,0.061847256,0.057240743,0.111634825,0.105323431,0.061885052,0.040625708,0.037891522,0.03315044,0.017772084,0.06208646,0.044417671,0.068690678,0.018896274,0.022179844,0.02881507,0.10959505,0.048959843,0.037682475,0.044921336,0.063519861,0.037015763,0.060197458,0.017768919,0.07218573,0.01777682,0.058216124,0.087788937,0.017803134,0.043287384,0.033124518,0.01789942,0.034494698,0.017776419,0.037733322,0.039454808,0.031604426,0.036033468,0.018232576,0.017789338,0.017870328,0.028608234
meta_i2,71.89783246,77.99478245,5.329510774,83.75556595,56.56918422,27.86465914,42.36462069,75.61194803,56.82529517,73.0013225,6.857992379,2.318841957,63.9194358,77.17483727,0,26.1692401,80.6446794,0,0,37.40604183,63.6981522,63.29537528,47.53890741,1.791164227,1.767361147,0,34.07492053,54.38896408,52.92233287,75.42309621,74.16261053,56.31563933,36.68748088,33.26293634,26.80128795,0.001309813,56.56794557,41.23410965,60.80369187,0,8.288115658,19.89817733,75.22968793,46.1206632,33.19475241,41.98730098,57.71120392,32.37191987,54.653242,0,62.38095277,0,38.22376211,67.54815569,0.003952789,39.82366135,26.86522305,0.253862654,28.84934446,0.005640027,33.26862201,35.44503629,24.30407516,31.11367894,0,0.00457929,0,18.50377726
meta_h2,3.558444375,4.544376795,1.056295376,6.15595469,2.302512587,1.386283045,1.735045404,4.100368497,2.316171017,3.703885126,1.073629424,1.023738887,2.771575285,4.381129773,1,1.354449015,5.166538032,1,1,1.597598281,2.754680713,2.724452321,1.906174558,1.018238321,1.017991588,1,1.516873409,2.192451848,2.124149434,4.068860783,3.870360051,2.289148759,1.579466453,1.498417738,1.366144256,1.000013098,2.302446921,1.701667403,2.551260686,1,1.090371229,1.248411043,4.037090842,1.855999089,1.496888397,1.723760516,2.364692526,1.478675719,2.205229313,1,2.658227875,1,1.618745385,3.081488961,1.000039529,1.661782725,1.367338552,1.002545088,1.405468428,1.000056403,1.498545407,1.549067558,1.32107508,1.451667014,1,1.000045795,1,1.227050735
meta_nctl,1226,1226,1228,1230,1231,1222,1231,1227,1227,1224,1227,1226,1114,1226,990,1231,1227,1228,1225,1175,1220,1230,1183,1218,1225,1229,1231,1128,1227,1216,1225,1227,1231,1226,1229,1231,1225,1227,1231,1134,1224,1231,1227,1227,1231,1230,1230,1231,1201,1231,1229,1231,964,1166,1226,1220,1226,1227,1229,1229,1228,1226,1225,1227,1206,1231,1226,1203
meta_npat,371,371,371,371,371,371,371,371,371,370,371,371,348,371,265,371,371,371,371,359,370,371,354,369,370,371,371,347,370,369,371,371,370,371,371,371,370,371,371,357,371,371,370,371,371,371,371,370,365,370,370,369,260,344,369,369,371,370,371,370,370,370,370,371,364,370,370,361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
